AuthCount	author	affiliation
1	Berman, Ethan E.	University of British Columbia
1	Best, Jacob	University of British Columbia
1	Bhatia, Maya P.	University of British Columbia
1	Birol, Inanc	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Bittman, Jesse	University of British Columbia
1	Bjorkman, Anne	University of British Columbia
1	Bjorkman, Anne D.	The Biodiversity Research Centre, Vancouver, British Columbia, Canada V6T 1Z4
1	Bjorkman, Anne D.	University of British Columbia
1	Black, Scott	University of British Columbia
1	Blackburn, Gwylim S.	University of British Columbia
1	Bodner, Melissa	University of British Columbia
1	Boehm, Mannfred	University of British Columbia
1	Bohlmann, Joerg	University of British Columbia
1	Bohlmann, Jörg	University of British Columbia
1	Boivenue, Celine	University of British Columbia
1	Booker, Tom	University of British Columbia
1	Boone, Celia K.	University of Northern British Columbia
1	Bostrom, Brian L.	University of British Columbia
1	Bourbonnais, Mathieu	University of British Columbia
1	Boyle, W. Alice	University of British Columbia
1	Branton, Margaret A.	University of British Columbia
1	Brar, Simren	University of British Columbia
1	Brink, Kirstin S.	University of British Columbia
1	Bryant, Heather J.	University of British Columbia
1	Burge, Dylan O.	University of British Columbia
1	Burton, Cole	University of British Columbia
1	Byers, Kaylee	University of British Columbia
1	Caccone, Aldalgisa	University of British Columbia
1	Camfield, Alaine F.	University of British Columbia
1	Campbell, Kirsten	University of British Columbia
1	Campbell, Marcus L.	University of British Columbia
1	Campo, Javier	University of British Columbia
1	Cang, F. Alice	University of British Columbia
1	Capelle, David	University of British Columbia
1	Carrillo, Juli	University of British Columbia
1	Carroll, Allan L.	University of British Columbia
1	Caseys, Celine	University of British Columbia
1	Cashion, Madeline	University of British Columbia
1	Casselman, Matthew T.	University of British Columbia
1	Cezard, Timothee	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Chan, Denessa	University of British Columbia
1	Chara-Serna, Ana M.	University of British Columbia
1	Chen, Han Y.H.	University of British Columbia
1	Chen, Wenjia	University of British Columbia
1	Chen, Yukon	University of British Columbia
1	Cheung, William	University of British Columbia
1	Cheung, William Wai Lung	University of British Columbia
1	Chila, Alexander E.	University of British Columbia
1	Christie, Camille	University of British Columbia
1	Chung, Danielle	University of British Columbia
1	Cisneros Montemayor, Andres M.	University of British Columbia
1	Cleathero, Lesley A	University of British Columbia
1	Close, David A.	University of British Columbia
1	Cooke, Janice E.K.	University of British Columbia
1	Coops, Nicholas C.	University of British Columbia
1	Costa, João H. C.	University of British Columbia
1	Cronk, Quentin C	University of British Columbia
1	Cronk, Quentin C B	University of British Columbia
1	Cronk, Quentin C.	University of British Columbia
1	Crutsinger, Gregory	University of British Columbia
1	Csergő, Anna Mária	University of British Columbia
1	Dagenais, Danielle	University of Northern British Columbia
1	Dakin, Roslyn	University of British Columbia
1	Dale, Angela L.	University of British Columbia
1	Dalla Riva, Giulio Valentino	University of British Columbia
1	Daros, Rolnei R.	University of British Columbia
1	De La Torre, Amanda	University of British Columbia
1	De La Torre, Amanda R.	University of British Columbia
1	Deyholos, Michael	University of British Columbia
1	Deyholos, Michael K.	University of British Columbia
1	DiGiacomo, Alessandra	University of British Columbia
1	Dick, Stefan	University of British Columbia
1	Dick, Stefan J.	University of British Columbia
1	Dlugosch, Katrina M.	University of British Columbia
